menu,comment,mood
逃げてもいいけど,その先で結局また自分に会う,だったら今日は一歩だけ進んでみよう
完璧じゃなくていい,でも、止まったままじゃ何も変わらない,小さく動けば、世界はちゃんと応えてくれる
誰も見てないようで,あなたの努力はちゃんと未来に積み上がってる,焦らず、でも止まらず
優しさだけじゃ守れない日もある,でも強さだけじゃ進めない日もある,その両方を持ってるあなたは、もう大丈夫
うまくいかない日は,『まだ途中』ってだけの話,物語はここから面白くなる
今日はあなたが主役の日,ちょっとくらいワガママでも,世界はちゃんと許してくれるよ
ほら、笑ってみて,その顔だけで,だいたい全部うまくいくから
がんばりすぎてるあなたへ,今日はゆっくり、堂々と,サボっていい日です
なんだかんだで,あなたって愛されキャラだから,今日もきっと大丈夫
ちょっとくらい調子に乗っても,あなたなら可愛いだけだから,安心してはしゃいでいいよ
あなたの歩いてきた道は,今日という日に光を連れてきた,これからの毎日も、きっと美しい
静かに積み重ねた努力は,誰よりもあなたを輝かせる,その光は、これからもっと強くなる
心の中の小さな希望が,そっと芽を出すように,今日がやさしく包んでくれますように
あなたが笑うと,世界の色がひとつ明るくなる,その笑顔が、ずっと続きますように
どんな日も、あなたはあなたのままでいい,そのままのあなたが,誰かの勇気になっている
立石さん、いつも温かいサポート本当にありがとう！お誕生日おめでとうございます。あなたの優しさにいつも感謝しています。,素敵な一年になりますように！,2026.3☆ホソジュンこと細野じゅん子より


